path,workload,rep,state,correct,ttft_ms,end_to_end_ttft_ms,completion_ms,input,cached,uncached,output,reasoning,stream_s,total_completion_ms,completion_tail_ms,final_answer_first_text_ms,stream_characters_per_s,approx_visible_tokens_per_s,run_first_text_ms,setup_ms,server_admission_ms,server_model_to_text_ms
hosted,greeting,1,fresh_session,True,4264.416709,7044.684751000001,5046.2132090000005,18092,0,18092,14,0,0.25358124999999926,7826.481251000001,528.2152500000011,4264.416709,122.2487861385654,55.20912922386825,,2780.2680420000006,662,3420
hosted,greeting,1,followup,True,2310.0335840000007,2310.0335840000007,2609.8105840000007,18114,17920,194,9,0,0.11380391599999894,2609.8105840000007,185.9730840000011,2310.0335840000007,52.72226308978731,79.08339463468097,,0,275,1953
codex,greeting,1,fresh_session,True,4038.8510000000024,4819.551709000001,5248.027333000002,15601,0,15601,12,0,0.1595916670000006,6028.728042000001,1049.5846659999988,4038.8510000000024,156.6497829739438,75.19189582749301,,780.7007089999988,,
codex,greeting,1,followup,True,2158.378249999998,2158.378249999998,2376.1280829999996,18231,15360,2871,7,0,0.07012299999999959,2376.1280829999996,147.62683300000208,2158.378249999998,71.30328137700938,99.82459392781314,,0,,
nanocodex,greeting,1,fresh_session,True,3786.048332999999,3786.048332999999,4207.900165999999,7407,0,7407,14,0,0.2518968750000022,4207.900165999999,169.95495799999844,3786.048332999999,134.97587058195822,55.57829965139456,3473.5336669999997,312.5146659999991,,
nanocodex,greeting,1,followup,True,2468.239125,2468.239125,2908.046792000001,7429,7168,261,13,0,0.13207962499999848,2908.046792000001,307.72804200000246,2468.239125,211.99333356678082,98.42547629886252,2465.042708000001,0,,
agents,greeting,1,fresh_session,True,11018.832292,11018.832292,12473.664583999998,7204,0,7204,14,0,0.0006174580000006245,12473.664583999998,1454.2148339999985,11018.832292,55064.474020849375,22673.606949761506,,,,
agents,greeting,1,followup,True,6631.563083000001,7149.571042000003,7360.515625,7226,7201,25,13,0,9.429200000158745e-05,7878.523584000002,728.8582499999975,6631.563083000001,286344.5467223672,137869.59657002863,,518.0079590000023,,
nanocodex,arithmetic,1,fresh_session,True,2116.6068749999977,2116.6068749999977,2240.2336670000004,7419,0,7419,5,0,0.0,2240.2336670000004,123.62679200000275,2116.6068749999977,,,2082.745667000003,33.861207999994804,,
nanocodex,arithmetic,1,followup,True,1708.4904160000006,1708.4904160000006,1931.9996249999967,7444,7296,148,5,0,0.0,1931.9996249999967,223.5092089999962,1708.4904160000006,,,1685.3823330000014,0,,
codex,arithmetic,1,fresh_session,True,4696.615000000005,5422.144042,4829.544250000006,15613,0,15613,5,0,0.0,5555.073292000001,132.92925000000105,4696.615000000005,,,,725.5290419999947,,
codex,arithmetic,1,followup,True,1944.3648749999993,1944.3648749999993,2141.6950829999987,18248,15488,2760,5,0,0.0,2141.6950829999987,197.3302079999994,1944.3648749999993,,,,0,,
agents,arithmetic,1,fresh_session,True,11869.642750000014,11869.642750000014,13116.842500000013,,,,,,0.0,13116.842500000013,1247.1997499999998,11869.642750000014,,,,,,
agents,arithmetic,1,followup,True,7880.754958000005,8642.680957999997,8655.202458,,,,,,0.0,9417.128457999992,774.4474999999948,7880.754958000005,,,,761.9259999999922,,
hosted,arithmetic,1,fresh_session,True,6019.908374999999,9397.730875000008,6621.790208999999,18104,9472,8632,5,0,0.0,9999.612709000008,601.8818339999998,6019.908374999999,,,,3377.8225000000093,711,5220
hosted,arithmetic,1,followup,True,2219.7315839999937,2219.7315839999937,2456.369417000009,18129,17920,209,5,0,0.0,2456.369417000009,236.63783300001523,2219.7315839999937,,,,0,261,1900
nanocodex,extraction,1,fresh_session,True,10636.123541000008,10636.123541000008,15346.129083000007,10045,0,10045,434,275,4.577715958999994,15346.129083000007,132.28958300000522,10636.123541000008,86.50602255507931,34.73347875317579,10306.204915999988,329.91862500002026,,
nanocodex,extraction,1,followup,True,1433.8836249999877,1433.8836249999877,6119.185041999997,13125,9856,3269,157,0,4.580334750000009,6119.185041999997,104.9666670000006,1433.8836249999877,86.45656302740737,34.27697069520949,1410.438749999972,0,,
